,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Avatar ,2009,Action|Adventure|Fantasy|Sci-Fi,English,USA,PG-13,178,1.78,237000000,760505847,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,0,1000,936,855,4834,33000,0,886204,3054,723,7.9
Titanic ,1997,Drama|Romance,English,USA,PG-13,194,2.35,200000000,658672302,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,0,29000,14000,794,45223,26000,0,793059,2528,315,7.7
Jurassic World ,2015,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,124,2.0,150000000,652177271,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,365,3000,2000,1000,8458,150000,0,418214,1290,644,7.0
The Avengers ,2012,Action|Adventure|Sci-Fi,English,USA,PG-13,173,1.85,220000000,623279547,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,0,26000,21000,19000,87697,123000,3,995415,1722,703,8.1
The Dark Knight ,2008,Action|Crime|Drama|Thriller,English,USA,PG-13,152,2.35,185000000,533316061,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,22000,23000,13000,11000,57802,37000,0,1676169,4667,645,9.0
Star Wars: Episode I - The Phantom Menace ,1999,Action|Adventure|Fantasy|Sci-Fi,English,USA,PG,136,2.35,115000000,474544677,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,0,20000,14000,1000,37723,13000,1,534658,3597,320,6.5
Star Wars: Episode IV - A New Hope ,1977,Action|Adventure|Fantasy|Sci-Fi,English,USA,PG,125,2.35,11000000,460935665,George Lucas,Harrison Ford,Peter Cushing,Kenny Baker,0,11000,1000,504,13485,33000,1,911097,1470,282,8.7
